Date,Close,High,Low,Open,Volume
,GARAN.IS,GARAN.IS,GARAN.IS,GARAN.IS,GARAN.IS
2024-05-30,98.94166564941406,98.94166564941406,96.337940510229,96.62723921605023,20663252.0
2024-05-31,103.95625305175781,106.46354518216846,99.2309674844309,99.32740038226238,36751484.0
2024-06-03,104.72772979736328,105.59564064399116,100.87035479666953,103.47408733655317,23553566.0
2024-06-04,100.5810546875,106.94572187867514,100.19531572132236,104.72772834117285,20963793.0
2024-06-05,100.87035369873047,102.60617537309241,99.42383808921514,100.96678660122639,15641930.0
2024-06-06,99.03810119628906,102.70261042676026,99.03810119628906,101.3525276914625,12058485.0
2024-06-07,96.38615417480469,100.29174927709673,95.61468359478081,99.61671159990597,11584441.0
2024-06-10,94.93963623046875,97.01297669861734,94.26459856984302,96.38615180954562,13330130.0
2024-06-11,99.03810119628906,99.71314624261744,94.69855427684848,94.74677440778588,16620547.0
2024-06-12,99.32740020751953,100.58104994919861,97.10940677450532,99.03809415717559,15913691.0
2024-06-13,99.32740020751953,102.4132970768486,98.55592231150803,100.29174389885468,14295018.0
2024-06-14,101.15966033935547,104.63129635048027,99.52027155815841,101.93113092107271,23642853.0
2024-06-20,106.84928894042969,106.84928894042969,101.54539839001296,102.99191399467206,21840551.0
2024-06-21,107.81362915039062,109.45301050577153,106.36711359304563,107.04215124352986,21941605.0
2024-06-24,110.0316162109375,110.3209222678575,107.6207569277997,108.00649588457348,15789670.0
2024-06-25,109.06727600097656,111.09239639238844,107.33146167577733,110.41735871437078,15014759.0
2024-06-26,108.97084045410156,110.03161707554585,107.52432487285243,109.0672733547131,13031571.0
2024-06-27,112.53890991210938,112.63535017062281,108.7779752655653,109.45301293100687,19261025.0
2024-06-28,108.3922348022461,114.56403603632418,106.84928633306623,113.4068191664203,23597131.0
2024-07-01,106.75284576416016,109.45301109535916,103.85981463388634,108.6815331843427,19521161.0
2024-07-02,108.97084045410156,109.35657941390642,106.36711535079661,106.94572011182451,20298380.0
2024-07-03,114.56404113769531,114.66047404180831,108.97084441083285,109.54944919286991,26580992.0
2024-07-04,114.75690460205078,116.68559207435415,113.21395609567985,116.68559207435415,22935842.0
