Price,Close,High,Low,Open,Volume
Ticker,SAHOL.IS,SAHOL.IS,SAHOL.IS,SAHOL.IS,SAHOL.IS
Date,,,,,
2024-05-29,96.28604888916016,98.64860536533412,96.28604888916016,97.49143259422496,16096734
2024-05-30,95.85211181640625,97.5878599033765,95.2735291207495,96.52712373515944,19665198
2024-05-31,94.21278381347656,99.51647191132399,93.58599019666609,96.18961595641453,27940178
2024-06-03,97.00927734375,97.10570656698165,92.66989608462231,94.4538624641814,25023776
2024-06-04,94.21278381347656,98.1664480993525,93.87527786048369,97.20214117247114,26159387
2024-06-05,92.33238983154297,95.03245221592324,91.464512111058,94.5020804542163,19171675
2024-06-06,91.36808013916016,92.76632222220532,90.40377322476269,90.88592668196142,16747114
2024-06-07,89.63233184814453,92.18774684506948,88.52338469443536,91.65738241439956,15813565
2024-06-10,86.45011901855469,89.39125078410451,86.0643947694608,89.05374482505167,14843135
2024-06-11,87.12512969970703,88.52337916318602,85.96796432593229,86.45011779118477,22783950
2024-06-12,89.72876739501953,90.16270259301015,87.17335242765223,87.17335242765223,17703112
2024-06-13,91.7055892944336,93.05562049321189,90.16269964886332,90.64485312292142,19218735
2024-06-14,90.50020599365234,94.79137634524132,89.87340500329911,94.50208131674654,22060380
2024-06-20,92.57347106933594,92.57347106933594,90.25913282118684,91.56094578668367,18603425
2024-06-21,91.89845275878906,92.91097061428789,90.83770925720273,92.91097061428789,17127521
2024-06-24,89.72876739501953,92.42882252366478,88.71624212360356,91.80202151550624,20580125
2024-06-25,87.8965835571289,90.16270351085228,87.65550680977368,89.87340847119462,20805404
2024-06-26,87.12512969970703,88.7162376064558,87.02870047807214,87.8965781869422,16551181
2024-06-27,88.71623992919922,89.53589937017291,87.510856234509,87.55907452512791,21613669
2024-06-28,93.05561828613281,94.01992521137771,89.05374307495087,89.15017229605978,43634007
2024-07-01,89.00553131103516,94.45385950208303,86.78762246087064,93.73062931490912,29137453
2024-07-02,90.64485168457031,90.88592841777395,87.80014917559852,89.1019620634826,22086920
2024-07-03,96.5271224975586,96.912846742077,90.69306996862565,90.69306996862565,22728020
2024-07-04,98.55216979980469,99.99863026080229,95.51460871737243,96.52712662582373,19786300
2024-07-05,99.32361602783203,99.80576950369529,97.29857290062196,99.0343209994828,17089726
2024-07-08,99.0343246459961,102.69869414031281,97.00928144422251,99.80577317861386,27825651
2024-07-09,98.26287841796875,99.99862649149222,97.10570567854168,99.51647302266713,15305350
2024-07-10,97.39500427246094,99.13075976668267,96.23783884769868,97.87715775895826,14426043
2024-07-11,102.60226440429688,102.60226440429688,98.35931221009288,98.35931221009288,25068700
2024-07-12,104.3380126953125,104.3380126953125,101.73438678210886,102.12011104701122,14724290
2024-07-16,104.14514923095703,105.6880388592593,103.0844130713166,104.72373192193562,17835575
2024-07-17,103.27727508544922,104.43444786447901,101.83081462947072,104.14515283045198,16399132
2024-07-18,102.69869232177734,105.20588897277126,102.40939728789876,104.14515277701365,11059059
2024-07-19,102.69869232177734,104.62730626209242,102.0236803854984,102.60226309617725,12584312
2024-07-22,105.68804168701172,105.97733671878034,102.79512079763872,103.4701400860727,14647534
2024-07-23,105.78446960449219,107.03807158389155,103.85585570207972,105.88090618527535,17788636
2024-07-24,103.27727508544922,106.07376677175665,103.18084585979965,105.30231825240345,12266889
2024-07-25,102.3129653930664,103.37370156115058,101.44508767115093,102.98798466881316,8966840
2024-07-26,101.92723846435547,103.56656464201015,100.48077808487788,102.50582850180885,9981517
2024-07-29,99.99862670898438,103.6629960228561,99.32361479399236,101.34865789604649,8708133
2024-07-30,96.62355041503906,100.57721467163223,96.18961524398759,99.90219541356801,20001619
2024-07-31,95.80389404296875,97.00927773086991,95.27352963453914,96.52712425570945,16004316
2024-08-01,96.38247680664062,98.07001397083847,96.33426587333902,97.10570701986828,16039158
2024-08-02,91.7538070678711,94.93601556448395,91.7055887779056,94.93601556448395,20728253
2024-08-05,88.13765716552734,90.25912952386723,86.78762595700276,86.78762595700276,21117719
2024-08-06,87.07691955566406,91.03057653510797,86.3054710614456,90.8377107330143,21146671
2024-08-07,89.3430404663086,90.06627067943509,86.54654883747051,87.65550330234677,23008766
2024-08-08,91.31986236572266,91.41629894336869,88.23408316507577,89.10196086434456,14689575
2024-08-09,86.9322738647461,92.81454484590189,86.78762634941477,91.99488540179529,24392529
2024-08-12,86.98048400878906,88.37873350152654,86.16082457212401,87.26977903682527,17868259
2024-08-13,88.42694091796875,88.90909437413451,86.40189787348815,86.69119289001875,14749338
2024-08-14,88.08943939208984,89.77697657338305,87.46263839619385,88.71624038798582,9123594
2024-08-15,90.83771514892578,91.89845871931182,87.55907728180749,88.33051845645008,11602902
2024-08-16,87.84835815429688,91.12700312436692,87.55907049513291,90.83770810812509,16573477
2024-08-19,89.72876739501953,89.82519662156429,87.31799994600857,88.13765940725662,13767550
2024-08-20,89.2948226928711,91.1752256721327,89.15017517799278,89.48768849840158,16997496
2024-08-21,87.8965835571289,90.64485700556273,87.8001543296025,88.86089054654978,16768301
2024-08-22,88.33051300048828,89.53589665867474,87.31799514185845,88.4269422217276,12419824
2024-08-23,84.18399810791016,88.71623774555857,84.18399810791016,88.5233793019864,19546929
2024-08-26,84.810791015625,85.1965152566072,82.35181277388472,84.85900930465202,23724215
2024-08-27,84.5215072631836,84.85901323075389,83.02682851912877,84.85901323075389,22154781
2024-08-28,82.8821792602539,85.4375941445628,82.8821792602539,84.61793470995606,14258620
2024-08-29,84.8590087890625,85.9197449275102,82.40002320518464,82.93039495294745,24606901
2024-09-02,88.90909576416016,89.58411502759236,85.24473385425765,85.24473385425765,23066460
2024-09-03,89.68054962158203,90.35556156837546,88.47516589010915,88.90910109060802,12200252
2024-09-04,90.88593292236328,90.88593292236328,88.23408872568955,88.4751654708417,14323104
2024-09-05,90.2591323852539,91.31986859805122,89.8251971845436,90.9341516894547,10470804
2024-09-06,90.45199584960938,92.04309644898072,89.39125230725747,90.25913004323709,13262389
2024-09-09,89.68054962158203,90.64485660676033,89.05374860980045,89.39125458319717,10775044
2024-09-10,89.96984100341797,92.09131334175811,88.71623903080362,89.77697519997369,18279515
2024-09-11,85.43759155273438,89.77697268827247,85.43759155273438,89.6805434677872,19472365
2024-09-12,87.3662109375,87.3662109375,83.07504781830404,86.69119899416975,14531411
2024-09-13,87.84835815429688,87.9447873740182,84.76257898074735,87.75192893457556,17405906
2024-09-16,87.7519302368164,89.19839062533536,87.12512926370927,87.65550101566407,11525981
2024-09-17,90.2591323852539,90.98236262449004,88.0894416675455,88.0894416675455,8569538
2024-09-18,92.76632690429688,93.48955712659777,89.1983940837771,89.9698425970627,17032032
2024-09-19,95.85211181640625,95.85211181640625,92.95919098104436,93.68242118988483,15860246
2024-09-20,96.43069458007812,97.29857230271446,94.6467282017623,95.80389359389198,13664096
2024-09-23,95.46638488769531,97.39499872381037,94.64672547876201,97.00927448517177,9804512
2024-09-24,97.39500427246094,99.32361821845026,95.03245513145535,95.80389629560408,18624262
2024-09-25,96.23783874511719,98.3593111406128,95.65924867627444,96.91285068266261,14639214
2024-09-26,96.18962097167969,98.4557408965893,95.17709570283066,96.71999275194888,16187718
2024-09-27,97.39500427246094,97.68429930719067,95.61103784383648,97.49143349834473,15695242
2024-09-30,93.87528228759766,97.10570917357998,93.44134709286807,96.71999227029961,17792364
2024-10-01,91.36808013916016,94.93601277959962,89.72876132751561,94.21278259380152,16327042
2024-10-02,85.48580932617188,91.75380426194081,85.14830337796913,91.22343251685228,21981108
2024-10-03,83.99113464355469,87.07692132608987,83.07504597548792,85.4858133725881,19508684
2024-10-04,87.46263885498047,87.60728637126572,83.55720005774853,84.47328873242462,14856859
2024-10-07,86.64297485351562,89.34303715872639,85.63045700687002,87.55907083714116,19578879
2024-10-08,87.84835815429688,89.39124774107164,85.53402009559579,86.45011607564304,15784813
2024-10-09,90.74127960205078,90.74127960205078,85.14830388637081,88.18586479541005,16729662
2024-10-10,87.07691955566406,91.27165326991647,86.11261261643003,90.54842306549095,24596376
2024-10-11,85.14830780029297,89.34304161913731,84.42507757783434,87.36620940158578,22150080
2024-10-14,84.23220825195312,85.67866863644143,83.31611961794172,85.19651517494533,12976241
2024-10-15,84.76258087158203,86.11261204902988,83.65362642735424,84.47328584888677,21708765
2024-10-16,85.3411636352539,87.02870076928434,83.5089789897481,84.56971514543734,44661533
2024-10-17,84.37686157226562,86.69119981823489,84.37686157226562,85.3893868539642,27811371
2024-10-18,79.74818420410156,84.859014134584,78.97674303530692,84.81079584281254,32647421
2024-10-21,76.18025207519531,79.94105080095609,75.98739362036797,79.74818498905029,22376256
2024-10-22,78.68744659423828,79.79640107148117,75.31237222867715,76.6141851554065,34759655
2024-10-23,77.96421813964844,80.1821271443901,76.8552636372776,78.68744837722788,24155270
2024-10-24,80.23033905029297,80.80892913302158,78.9767443708975,78.9767443708975,17713573
2024-10-25,82.0625228881836,82.3518179262897,79.16960193543626,79.60354449259542,18394156
2024-10-28,82.73754119873047,82.73754119873047,81.58036841726809,82.11074019507313,4142171
2024-10-30,82.5928955078125,83.70185002233218,81.72501774179368,83.07504900481423,15066533
2024-10-31,80.27855682373047,83.17147779035139,79.84462162156872,82.68932429591457,14016930
2024-11-01,79.74818420410156,82.20716994287825,79.5553257511725,80.47141443820313,16305471
2024-11-04,77.86778259277344,79.45889045772556,76.9516939756896,79.36246123862375,17560062
2024-11-05,78.1088638305664,78.88031234209465,77.19277516057008,78.63923560187686,11034625
2024-11-06,80.0374755859375,81.09821174276925,76.75883053630277,78.10886171639685,16906758
2024-11-07,77.1445541381836,79.02494970247062,76.27667643271343,78.4945853070174,21417085
2024-11-08,80.0374755859375,80.42319983126124,76.8070488258725,77.14455478162651,25331810
2024-11-11,82.1107406616211,82.49646492430021,80.03747918716441,80.27855593170406,24000163
2024-11-12,81.19464111328125,82.06251882757692,80.32677075606365,81.38750691483477,17333041
2024-11-13,82.30359649658203,83.94292272155647,79.266028140583,80.5196301151471,35863900
2024-11-14,83.84648895263672,84.08756569759205,82.11074080320529,82.93040026463777,21703048
2024-11-15,82.9303970336914,84.85901091819586,81.91787180149532,84.28042822426015,15662979
2024-11-18,82.83396911621094,83.89470529798825,81.58036712869706,83.46077010996787,16046867
2024-11-19,79.6999740600586,83.31612526643985,78.97674381878234,83.07504851934777,23374111
2024-11-20,78.0606460571289,81.0982144754238,77.72314009000243,80.18212579935503,17543469
2024-11-21,83.60540771484375,84.85900966407607,78.25350867868575,78.49458541068597,32278378
2024-11-22,88.42694091796875,88.47515920641648,83.21968947704087,83.60540635631118,27408220
2024-11-25,87.51085662841797,89.72876557946262,87.41442740382433,89.00553535939304,22263375
2024-11-26,86.20904541015625,88.37873611331247,84.9072324596782,87.5108583606343,18109414
2024-11-27,87.94479370117188,88.81267145525865,86.35369306860429,87.7519352478541,18486006
2024-11-28,87.94479370117188,89.24661401084123,87.41442927600882,87.89658276638164,11536899
2024-11-29,87.269775390625,89.68054266660911,86.35368676858218,87.9447872850694,19560074
2024-12-02,86.78762817382812,86.9322756922002,85.43759693081957,86.30547468397353,15292209
2024-12-03,90.06626892089844,90.64485160868722,86.0161753922209,87.22155905723004,18283285
2024-12-04,90.83771514892578,91.60916368064682,89.82519722775517,90.35556165586975,14864649
2024-12-05,90.2591323852539,91.27165766301587,89.77697889242981,90.98236262449004,14627743
2024-12-06,92.6698989868164,93.20027076681765,91.22343852180758,92.18774549848013,21321524
2024-12-09,97.20214080810547,97.68429426973877,94.4056492592167,94.50207848012778,21234817
